1,9.90976094939884e-15,1.8145611990184111e-19,20749778656850.777,1.2689704143240206e-05,0.4266313566623344
2,9.909760949396667e-15,1.8145611990182099e-19,20749778656848.766,1.26897041432392e-05,0.2857471749963779
3,9.881026218514552e-15,1.8119005757883847e-19,20723172424550.51,1.2676401027090073e-05,0.8582874532050917
4,9.881209759120895e-15,1.8119175702889718e-19,20723342369556.383,1.2676485999593009e-05,0.18156679112553387
5,9.866398267231016e-15,1.8105461358547238e-19,20709628025213.902,1.2669628827421768e-05,0.06136456226825682
6,9.865538987668809e-15,1.810466572932297e-19,20708832395989.633,1.2669231012809634e-05,0.4516770316367661
7,9.847273018296668e-15,1.8087752794719137e-19,20691919461385.805,1.2660774545507719e-05,0.5132693589600535
8,9.84795830649586e-15,1.8088387320829499e-19,20692553987496.164,1.26610918085629e-05,0.9444101888538114
9,9.837373478440733e-15,1.807858655411179e-19,20682753220778.457,1.2656191425204046e-05,0.08006808117483966
10,9.834060402023906e-15,1.8075518890762876e-19,20679685557429.54,1.2654657593529588e-05,0.6937052392168035
11,9.833576409686544e-15,1.8075070749709762e-19,20679237416376.43,1.265443352300303e-05,0.8597746207581585
12,9.83153997978042e-15,1.8073185166463353e-19,20677351833130.02,1.2653490731379827e-05,0.07943239077372966
13,9.817059302866948e-15,1.805977713228421e-19,20663943798950.875,1.2646786714290254e-05,0.8009812831058593
14,9.81689148533655e-15,1.8059621745681989e-19,20663788412348.656,1.2646709020989144e-05,0.5356821527524185
15,9.799387476037932e-15,1.804341432966475e-19,20647580996331.418,1.2638605312980526e-05,0.20144062179875755
16,9.808746943428537e-15,1.8052080503174571e-19,20656247169841.24,1.2642938399735435e-05,0.48643693017150824
17,9.807160274015791e-15,1.8050611364829436e-19,20654778031496.1,1.2642203830562866e-05,0.06570180695636763
18,9.796506351176336e-15,1.804074662145957e-19,20644913288126.234,1.2637271458877935e-05,0.6341274033161685
