1,-2.165063510E-05,-7.375000000E-04
2,2.165063509E-05,-7.375000000E-04
3,-2.879823711E-05,-7.333733301E-04
4,2.875215569E-05,-7.333999352E-04
5,-1.710108782E-05,-7.317639699E-04
6,1.697956428E-05,-7.316507658E-04
7,-3.737099066E-05,-7.284238485E-04
8,3.719493559E-05,-7.285254939E-04
9,2.323503164E-05,-7.276745607E-04
10,-1.093032329E-05,-7.275160494E-04
11,1.079896659E-05,-7.274526649E-04
12,-2.255480266E-05,-7.269080616E-04
13,-3.816086237E-06,-7.252929669E-04
14,3.671433461E-06,-7.252710579E-04
15,1.848224518E-05,-7.226810103E-04
16,4.741107429E-05,-7.226272035E-04
17,-4.783080161E-05,-7.223848738E-04
18,-1.740181629E-05,-7.223187690E-04
19,3.335388874E-05,-7.194769389E-04
20,-1.346701287E-05,-7.180959139E-04
21,-3.087157991E-05,-7.173655711E-04
22,1.562808874E-05,-7.174496201E-04
23,-2.231587147E-05,-7.164354563E-04
24,5.985464041E-05,-7.154429072E-04
25,-6.051433045E-05,-7.150620350E-04
26,2.760665664E-05,-7.147252572E-04
27,-1.555890638E-06,-7.144029215E-04
28,-9.579023914E-06,-7.132804865E-04
29,5.911919631E-06,-7.133723453E-04
30,2.200195290E-05,-7.122491375E-04
31,1.329361594E-05,-7.120066185E-04
32,4.255136761E-05,-7.105232167E-04
33,-1.960781090E-05,-7.097379583E-04
34,-4.273773901E-05,-7.083404287E-04
35,-5.831471842E-06,-7.084449310E-04
36,-4.960804416E-07,-7.085338280E-04
37,7.435885514E-05,-7.070688950E-04
38,-7.512385782E-05,-7.066272205E-04
39,5.807105423E-06,-7.064377693E-04
40,2.116745225E-05,-7.058461818E-04
41,-1.393953375E-05,-7.036490499E-04
42,-2.691300377E-05,-7.030417223E-04
43,-6.673310860E-07,-7.031290811E-04
44,-7.190681268E-06,-7.024868583E-04
45,5.286902710E-05,-7.025080276E-04
46,1.187754620E-05,-7.017307337E-04
47,3.192840613E-05,-7.017626388E-04
48,-5.504648128E-05,-7.000460343E-04
49,2.766741251E-06,-6.992798313E-04
50,8.957784320E-05,-6.982822081E-04
51,-9.033360011E-05,-6.978458717E-04
52,-3.580047750E-05,-6.953421673E-04
53,1.837952310E-05,-6.953451379E-04
54,-1.855385883E-05,-6.936940488E-04
55,6.573219938E-06,-6.934791590E-04
56,6.700592489E-05,-6.929432518E-04
57,-6.831011087E-05,-6.916418764E-04
58,4.522949986E-05,-6.893953799E-04
59,1.047968313E-04,-6.894955213E-04
60,-1.055433424E-04,-6.890645229E-04
61,-6.489558507E-06,-6.885849394E-04
62,2.557178016E-05,-6.884460030E-04
63,-4.699151726E-05,-6.864489941E-04
64,1.148926767E-05,-6.855798264E-04
65,-2.519883539E-05,-6.845443393E-04
66,8.135307455E-05,-6.838046328E-04
67,2.190980390E-06,-6.833918813E-04
68,-8.223751139E-05,-6.829269067E-04
69,1.200158193E-04,-6.807088344E-04
70,-1.207530847E-04,-6.802831741E-04
71,5.845373083E-05,-6.792223471E-04
72,-5.966384841E-05,-6.774519246E-04
73,3.627036922E-05,-6.768677153E-04
74,1.640654102E-05,-6.752396165E-04
75,-1.420056913E-05,-6.747373973E-04
76,9.604920167E-05,-6.747410169E-04
77,-3.671153419E-05,-6.742193782E-04
78,-9.686009312E-05,-6.739561115E-04
79,1.352348074E-04,-6.719221476E-04
80,-1.359628270E-04,-6.715018252E-04
